Listing ID,Listing Title,Page Name,Amount Per Stay
1316903,Hyatt Centric The Loop Chicago,hyatt-centric-the-loop-chicago,N/A
28884,Hampton Inn Majestic Chicago Theatre District,hampton-inn-majestic-chicago-theatre-district,N/A
1629853,Kimpton Gray Hotel Chicago by IHG,kimpton-the-gray-chicago1,N/A
59369,Central Loop Hotel,c-l-chicago-illinois,N/A
10525479,Experience Downtown Chicago at Millennium - Luxury Apartments in The Loop,the-stars-by-cloud9-29,N/A
56065,"Club Quarters Hotel Central Loop, Chicago",club-quarters-central-loop,N/A
10376129,Loop 1BR w WD Gym Rooftop Pool 2 blocks to L CHI-382,loop-1br-w-wd-gym-rooftop-pool-2-blocks-to-l-chi-382,N/A
1468451,Residence Inn by Marriott Chicago Downtown/Loop,residence-inn-by-marriott-chicago-downtown-loop,N/A
7736033,"The LaSalle Chicago, Autograph Collection by Marriott",the-lasalle-chicago-autograph-collection,N/A
28801,The Palmer House Hilton,the-palmer-house,N/A
56896,"The Midland Hotel, Chicago, a Tribute Portfolio Hotel",w-chicago-city-center,N/A
284261,JW Marriott Chicago,jw-marriott-chicago,N/A
9756048,Loop 1BR w Lounge Rooftop nr Art Institute CHI-103,loop-1br-w-lounge-rooftop-nr-art-institute-chi-103,N/A
45479,"Staypineapple, An Iconic Hotel, The Loop",staypineapple-the-loop,N/A
56368,Silversmith Hotel Chicago Downtown,the-silversmith,N/A
11649700,Loop 2br w gym doorman nr L CHI-813,loop-2br-w-gym-doorman-nr-l-chi-813,N/A
9756103,Loop 1BR w Gym Doorman nr L Parks CHI-302,loop-1br-w-gym-doorman-nr-l-parks-chi-302,N/A
9756292,Loop 2BR w Gym Doorman same block as L CHI-673,loop-2br-w-gym-doorman-same-block-as-l-chi-673,N/A
10414749,Loop 2BR w Gym Doorman nr L Parks CHI-318,loop-2br-w-gym-doorman-nr-l-parks-chi-318,N/A
7121006,Sonder Jewelers Row,sonder-at-jewelers-row,N/A
400626,La Quinta by Wyndham Chicago Downtown,la-quinta-inn-chicago,N/A
7587822,Hilton Garden Inn- Chicago Central Loop,hilton-garden-inn-chicago-central-loop-il,N/A
7587739,Canopy By Hilton Chicago Central Loop,canopy-by-hilton-chicago-central-loop,N/A
1334658,"Chicago Athletic Association, part of Hyatt",chicago-athletic-association,N/A
4046046,Sonder The Plymouth,the-plymouth-premier-suites-by-sonder,N/A
2173807,Cambria Hotel Chicago Loop - Theatre District,cambria-suites,N/A
9824533,Loop 1BR w Gym Roofdeck nr Financial District CHI-201,loop-1br-w-gym-roofdeck-nr-financial-district-chi-201,N/A
10712282,Loop 1BR w Gym Roofdeck nr Financial District CHI-192,loop-1br-w-gym-roofdeck-nr-financial-district-chi-192,N/A
9783836,Loop 1BR w Gym Roof Lounge same block as L CHI-668,loop-1br-w-gym-roof-lounge-same-block-as-l-chi-668,N/A
1353133,Hyatt Place Chicago/Downtown - The Loop,hyatt-place-chicago-47-downtown-the-loop,N/A
182592,The Buckingham Hotel,the-buckingham-athletic-club,N/A
55916,The Allegro Royal Sonesta Hotel Chicago Loop,allegro-chicago,N/A
56130,HI Chicago Hostel,hostelling-international-chicago,N/A
13024549,Premier Penthouses with Captivating Views of Millennium Park,2662sqft-penthouse-view-to-the-bean-amp-millenium-park,N/A
23384,"Bluegreen Vacations Hotel Blake, Ascend Resort Collection",blake,N/A
182226,"theWit Chicago, a Hilton Hotel",thewit-a-doubletree,N/A
13775480,Blueground The Loop elevator nr Willis Tower CHI-1235,blueground-the-loop-elevator-nr-willis-tower-chi-1235,N/A
13775482,Blueground The Loop elevator nr Willis Tower CHI-1237,blueground-the-loop-elevator-nr-willis-tower-chi-1237,N/A
13775472,Blueground The Loop elevator nr Willis Tower CHI-1234,blueground-the-loop-elevator-nr-willis-tower-chi-1234,N/A
13775481,Blueground The Loop elevator nr Willis Tower CHI-1236,blueground-the-loop-elevator-nr-willis-tower-chi-1236,N/A
13763186,Blueground The Loop elevator nr Willis Tower CHI-1233,blueground-the-loop-elevator-nr-willis-tower-chi-1233,N/A
13727271,Blueground The Loop AC wd nr Willis Tower CHI-1232,blueground-the-loop-ac-wd-nr-willis-tower-chi-1232,N/A
13817811,Blueground The Loop elevator nr Willis Tower CHI-1240,blueground-the-loop-elevator-nr-willis-tower-chi-1240,N/A
13817810,Blueground The Loop elevator nr Willis Tower CHI-1239,blueground-the-loop-elevator-nr-willis-tower-chi-1239,N/A
13898513,Blueground The Loop pool gym nr Willis Tower CHI-1205,blueground-the-loop-pool-gym-nr-willis-tower-chi-1205,N/A
13898559,Blueground The Loop pool gym nr Willis Tower CHI-1204,blueground-the-loop-pool-gym-nr-willis-tower-chi-1204,N/A
13373107,Blueground The Loop pool AC nr Willis Tower CHI-1175,blueground-the-loop-pool-ac-nr-willis-tower-chi-1175,N/A
11929747,Linea Luxury Living with Indoor Pool and Rooftop Views in The Loop,indoor-pool-gym-rooftop-215-by-cloud9,N/A
3961606,Arlo Chicago,julian-chicago-chicago1,N/A
180799,Renaissance Chicago Downtown Hotel,renaissance-chicago,N/A
